"Name","datamodule.dataset.dataset_name","module.network.model.restrict_logits","module.network.model_name","tags","_wandb","module.network.model.pooling","test/AUROC","test/MulticlassAccuracy"
"module.network.model_name: perch","beans_dogs","false","perch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perch"",""rs240825""]","","","0.9963560104370116","0.8992805480957031"
"module.network.model_name: perch","beans_cbi","false","perch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perch"",""rs240825""]","","","0.9900464415550232","0.7983425259590149"
"module.network.model_name: perch","beans_watkins","false","perch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perch"",""rs240825""]","","","0.9832893013954164","0.7994100451469421"
"module.network.model_name: perch","beans_humbugdb","false","perch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perch"",""rs240825""]","","","0.9555755257606506","0.748251736164093"
"module.network.model_name: perch","beans_bats","false","perch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perch"",""rs240825""]","","","0.8875322341918945","0.5354999899864197"
"module.network.model_name: perch","beans_dogs","false","perch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perch"",""rs240825""]","","","0.993504524230957","0.8848921060562134"
"module.network.model_name: perch","beans_cbi","false","perch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perch"",""rs240825""]","","","0.9900474548339844","0.7961326241493225"
"module.network.model_name: perch","beans_watkins","false","perch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perch"",""rs240825""]","","","0.9847276210784912","0.8023598790168762"
"module.network.model_name: biolingual","beans_watkins","","biolingual","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""biolingual"",""rs240825""]","","just_cls","0.9842365980148317","0.7994100451469421"
"module.network.model_name: vit_inatsound","beans_humbugdb","","vit_inatsound","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""vit_inatsound"",""rs110725""]","","attentive","0.951328456401825","0.7213555574417114"
"module.network.model_name: eat_ssl","beans_humbugdb","","eat_ssl","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""eat_ssl"",""rs110725""]","","attentive","0.9803704023361206","0.8305540680885315"
"module.network.model_name: convnext_bs","beans_humbugdb","","convnext_bs","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""convnext_bs"",""rs110725""]","","attentive","0.9638519883155824","0.7595481276512146"
"module.network.model_name: bird_aves","beans_bats","","bird_aves","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""bird_aves"",""rs110725""]","","attentive","0.9577717185020448","0.6934999823570251"
"module.network.model_name: bird_aves","beans_humbugdb","","bird_aves","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""bird_aves"",""rs110725""]","","attentive","0.9691575169563292","0.7848305702209473"
"module.network.model_name: bird_aves","beans_dogs","","bird_aves","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""bird_aves"",""rs110725""]","","attentive","0.9950279593467712","0.9064748287200928"
"module.network.model_name: bird_aves","beans_cbi","","bird_aves","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""bird_aves"",""rs110725""]","","attentive","0.9604862928390504","0.5149171352386475"
"module.network.model_name: bird_aves","beans_watkins","","bird_aves","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""bird_aves"",""rs110725""]","","attentive","0.9808595776557922","0.7581120729446411"
"module.network.model_name: aves","beans_bats","","aves","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""aves"",""rs110725""]","","attentive","0.9500274658203124","0.6660000085830688"
"module.network.model_name: aves","beans_humbugdb","","aves","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""aves"",""rs110725""]","","attentive","0.971587300300598","0.7928994297981262"
"module.network.model_name: aves","beans_dogs","","aves","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""aves"",""rs110725""]","","attentive","0.9944453239440918","0.8848921060562134"
"module.network.model_name: biolingual","beans_humbugdb","","biolingual","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""biolingual"",""rs110725""]","","attentive","0.9705100059509276","0.7923614978790283"
"module.network.model_name: BEATs_NatureLM","beans_humbugdb","","BEATs_NatureLM","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""BEATs_NatureLM"",""rs110725""]","","attentive","0.9788935780525208","0.8165680766105652"
"module.network.model_name: aves","beans_cbi","","aves","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""aves"",""rs110725""]","","attentive","0.9555944800376892","0.4806629717350006"
"module.network.model_name: BEATs","beans_humbugdb","","BEATs","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""BEATs"",""rs110725""]","","attentive","0.979684054851532","0.8122646808624268"
"module.network.model_name: aves","beans_watkins","","aves","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""aves"",""rs110725""]","","attentive","0.9881981015205384","0.7994100451469421"
"module.network.model_name: audio_mae","beans_humbugdb","","audio_mae","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""audio_mae"",""rs110725""]","","attentive","0.969008445739746","0.7912856340408325"
