"Name","datamodule.dataset.dataset_name","module.network.model.restrict_logits","module.network.model_name","tags","_wandb","module.network.model.pooling","test/MultilabelAUROC","test/cmAP5"
"module.network.model_name: surfperch","POW","false","surfperch","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""surfperch"",""validation"",""POW""]","","","0.7576463222503662","0.21897251904010773"
"module.network.model_name: bird_aves","POW","","bird_aves","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""bird_aves"",""validation"",""POW""]","","","0.631147563457489","0.1078696995973587"
"module.network.model_name: audio_mae","POW","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""audio_mae""]","","attentive","0.7613210678100586","0.27249637246131897"
"module.network.model_name: audio_mae","SNE","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""audio_mae""]","","just_cls","0.7285178303718567","0.11845172196626665"
"module.network.model_name: audio_mae","SSW","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""audio_mae""]","","just_cls","0.8200004696846008","0.08714257925748825"
"module.network.model_name: audio_mae","NBP","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""audio_mae""]","","just_cls","0.7545499801635742","0.2599213123321533"
"module.network.model_name: audio_mae","HSN","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""audio_mae""]","","just_cls","0.7701281905174255","0.14669333398342133"
"module.network.model_name: audio_mae","UHH","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""audio_mae""]","","just_cls","0.7709935307502747","0.14641809463500977"
"module.network.model_name: audio_mae","PER","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""audio_mae""]","","attentive","0.6975076794624329","0.13789653778076172"
"module.network.model_name: audio_mae","NES","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""audio_mae""]","","just_cls","0.8021478652954102","0.11621438711881638"
"module.network.model_name: audio_mae","POW","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""audio_mae""]","","just_cls","0.687981128692627","0.1499413549900055"
"module.network.model_name: audio_mae","PER","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""audio_mae""]","","just_cls","0.6244023442268372","0.05733347311615944"
"module.network.model_name: eat_ssl","SNE","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""eat_ssl""]","","just_cls","0.7105734348297119","0.1221454218029976"
"module.network.model_name: eat_ssl","NBP","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""eat_ssl""]","","attentive","0.8538784384727478","0.43836668133735657"
"module.network.model_name: eat_ssl","SSW","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""eat_ssl""]","","just_cls","0.7830750346183777","0.0859621986746788"
"module.network.model_name: eat_ssl","HSN","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""eat_ssl""]","","attentive","0.811265230178833","0.3005247414112091"
"module.network.model_name: eat_ssl","UHH","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""eat_ssl""]","","attentive","0.8042252659797668","0.19905830919742584"
"module.network.model_name: eat_ssl","NES","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""eat_ssl""]","","attentive","0.8688225746154785","0.23710334300994873"
"module.network.model_name: eat_ssl","NBP","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""eat_ssl""]","","just_cls","0.8050564527511597","0.31403204798698425"
"module.network.model_name: eat_ssl","HSN","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""eat_ssl""]","","just_cls","0.6887851357460022","0.1693112552165985"
"module.network.model_name: eat_ssl","UHH","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""eat_ssl""]","","just_cls","0.6638258099555969","0.1095663160085678"
"module.network.model_name: eat_ssl","NES","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""eat_ssl""]","","just_cls","0.8005231618881226","0.13021455705165863"
"module.network.model_name: eat_ssl","POW","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""eat_ssl""]","","attentive","0.7556467056274414","0.2647826671600342"
"module.network.model_name: eat_ssl","POW","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""eat_ssl""]","","just_cls","0.7018856406211853","0.18480117619037628"
"module.network.model_name: eat_ssl","PER","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""eat_ssl""]","","attentive","0.7078279852867126","0.13315707445144653"
"module.network.model_name: eat_ssl","PER","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""eat_ssl""]","","just_cls","0.6434111595153809","0.07618843764066696"
